📦 Total skills in registry: 39647
📁 Already downloaded: 3243
⬇️  To download: ~36404

🔄 Batch 1/199 (200 skills)... ✅ 10 | ⏭️ 0 | ❌ 140 | ⚡ 6/s
🔄 Batch 2/199 (200 skills)... ✅ 30 | ⏭️ 0 | ❌ 270 | ⚡ 6/s
🔄 Batch 3/199 (200 skills)... ✅ 68 | ⏭️ 0 | ❌ 367 | ⚡ 6/s
🔄 Batch 4/199 (200 skills)... ✅ 91 | ⏭️ 0 | ❌ 459 | ⚡ 6/s
🔄 Batch 5/199 (200 skills)... ✅ 110 | ⏭️ 0 | ❌ 564 | ⚡ 6/s
🔄 Batch 6/199 (200 skills)... ✅ 126 | ⏭️ 0 | ❌ 695 | ⚡ 6/s
🔄 Batch 7/199 (200 skills)... ✅ 142 | ⏭️ 0 | ❌ 838 | ⚡ 6/s
🔄 Batch 8/199 (200 skills)... ✅ 170 | ⏭️ 0 | ❌ 979 | ⚡ 6/s
🔄 Batch 9/199 (200 skills)... ✅ 187 | ⏭️ 0 | ❌ 1130 | ⚡ 6/s
🔄 Batch 10/199 (200 skills)... ✅ 220 | ⏭️ 0 | ❌ 1267 | ⚡ 6/s
🔄 Batch 11/199 (200 skills)... ✅ 248 | ⏭️ 0 | ❌ 1399 | ⚡ 6/s
🔄 Batch 12/199 (200 skills)... ✅ 282 | ⏭️ 0 | ❌ 1524 | ⚡ 6/s
🔄 Batch 13/199 (200 skills)... ✅ 298 | ⏭️ 0 | ❌ 1677 | ⚡ 6/s
🔄 Batch 14/199 (200 skills)... ✅ 328 | ⏭️ 0 | ❌ 1810 | ⚡ 6/s
🔄 Batch 15/199 (200 skills)... ✅ 356 | ⏭️ 0 | ❌ 1947 | ⚡ 6/s
🔄 Batch 16/199 (200 skills)... ✅ 378 | ⏭️ 0 | ❌ 2077 | ⚡ 6/s
🔄 Batch 17/199 (200 skills)... ✅ 417 | ⏭️ 0 | ❌ 2191 | ⚡ 6/s
🔄 Batch 18/199 (200 skills)... ✅ 453 | ⏭️ 0 | ❌ 2287 | ⚡ 6/s
🔄 Batch 19/199 (200 skills)... ✅ 487 | ⏭️ 0 | ❌ 2387 | ⚡ 6/s
🔄 Batch 20/199 (200 skills)... ✅ 509 | ⏭️ 0 | ❌ 2446 | ⚡ 6/s
🔄 Batch 21/199 (200 skills)... ✅ 529 | ⏭️ 0 | ❌ 2533 | ⚡ 6/s
🔄 Batch 22/199 (200 skills)... ✅ 558 | ⏭️ 0 | ❌ 2634 | ⚡ 6/s
🔄 Batch 23/199 (200 skills)... ✅ 589 | ⏭️ 0 | ❌ 2744 | ⚡ 6/s
🔄 Batch 24/199 (200 skills)... ✅ 651 | ⏭️ 0 | ❌ 2848 | ⚡ 6/s
🔄 Batch 25/199 (200 skills)... ✅ 707 | ⏭️ 0 | ❌ 2922 | ⚡ 6/s
🔄 Batch 26/199 (200 skills)... ✅ 742 | ⏭️ 0 | ❌ 3025 | ⚡ 6/s
🔄 Batch 27/199 (200 skills)... ✅ 768 | ⏭️ 0 | ❌ 3148 | ⚡ 6/s
🔄 Batch 28/199 (200 skills)... ✅ 811 | ⏭️ 0 | ❌ 3253 | ⚡ 6/s
🔄 Batch 29/199 (200 skills)... ✅ 862 | ⏭️ 0 | ❌ 3355 | ⚡ 6/s
🔄 Batch 30/199 (200 skills)... ✅ 888 | ⏭️ 0 | ❌ 3459 | ⚡ 6/s
🔄 Batch 31/199 (200 skills)... ✅ 950 | ⏭️ 0 | ❌ 3529 | ⚡ 6/s
🔄 Batch 32/199 (200 skills)... ✅ 1004 | ⏭️ 0 | ❌ 3600 | ⚡ 6/s
🔄 Batch 33/199 (200 skills)... ✅ 1034 | ⏭️ 0 | ❌ 3680 | ⚡ 6/s
🔄 Batch 34/199 (200 skills)... ✅ 1065 | ⏭️ 0 | ❌ 3787 | ⚡ 6/s
🔄 Batch 35/199 (200 skills)... ✅ 1114 | ⏭️ 0 | ❌ 3880 | ⚡ 6/s
🔄 Batch 36/199 (200 skills)... ✅ 1145 | ⏭️ 0 | ❌ 3965 | ⚡ 6/s
🔄 Batch 37/199 (200 skills)... ✅ 1174 | ⏭️ 0 | ❌ 4050 | ⚡ 6/s
🔄 Batch 38/199 (200 skills)... ✅ 1200 | ⏭️ 0 | ❌ 4177 | ⚡ 6/s
🔄 Batch 39/199 (200 skills)... ✅ 1236 | ⏭️ 0 | ❌ 4284 | ⚡ 6/s
🔄 Batch 40/199 (200 skills)... ✅ 1270 | ⏭️ 0 | ❌ 4401 | ⚡ 6/s
🔄 Batch 41/199 (200 skills)... ✅ 1270 | ⏭️ 0 | ❌ 4531 | ⚡ 6/s
🔄 Batch 42/199 (200 skills)... ✅ 1270 | ⏭️ 0 | ❌ 4676 | ⚡ 6/s
🔄 Batch 43/199 (200 skills)... ✅ 1270 | ⏭️ 0 | ❌ 4844 | ⚡ 5/s
🔄 Batch 44/199 (200 skills)... ✅ 1270 | ⏭️ 0 | ❌ 5044 | ⚡ 5/s
🔄 Batch 45/199 (200 skills)... ✅ 1304 | ⏭️ 0 | ❌ 5159 | ⚡ 5/s
🔄 Batch 46/199 (200 skills)... ✅ 1337 | ⏭️ 0 | ❌ 5243 | ⚡ 5/s
🔄 Batch 47/199 (200 skills)... ✅ 1349 | ⏭️ 0 | ❌ 5320 | ⚡ 5/s
🔄 Batch 48/199 (200 skills)... ✅ 1349 | ⏭️ 0 | ❌ 5363 | ⚡ 5/s
🔄 Batch 49/199 (200 skills)... ✅ 1349 | ⏭️ 0 | ❌ 5470 | ⚡ 5/s
🔄 Batch 50/199 (200 skills)... ✅ 1349 | ⏭️ 0 | ❌ 5584 | ⚡ 5/s
🔄 Batch 51/199 (200 skills)... ✅ 1349 | ⏭️ 0 | ❌ 5714 | ⚡ 5/s
🔄 Batch 52/199 (200 skills)... ✅ 1349 | ⏭️ 0 | ❌ 5815 | ⚡ 5/s
🔄 Batch 53/199 (200 skills)... ✅ 1349 | ⏭️ 0 | ❌ 5958 | ⚡ 5/s
🔄 Batch 54/199 (200 skills)... ✅ 1349 | ⏭️ 0 | ❌ 6079 | ⚡ 5/s
🔄 Batch 55/199 (200 skills)... ✅ 1349 | ⏭️ 0 | ❌ 6233 | ⚡ 5/s
🔄 Batch 56/199 (200 skills)... ✅ 1349 | ⏭️ 0 | ❌ 6382 | ⚡ 4/s
🔄 Batch 57/199 (200 skills)... ✅ 1349 | ⏭️ 0 | ❌ 6508 | ⚡ 4/s
🔄 Batch 58/199 (200 skills)... ✅ 1359 | ⏭️ 0 | ❌ 6641 | ⚡ 4/s
🔄 Batch 59/199 (200 skills)... ✅ 1391 | ⏭️ 0 | ❌ 6754 | ⚡ 4/s
🔄 Batch 60/199 (200 skills)... ✅ 1409 | ⏭️ 0 | ❌ 6881 | ⚡ 4/s
🔄 Batch 61/199 (200 skills)... ✅ 1444 | ⏭️ 0 | ❌ 6980 | ⚡ 4/s
🔄 Batch 62/199 (200 skills)... ✅ 1470 | ⏭️ 0 | ❌ 7048 | ⚡ 4/s
🔄 Batch 63/199 (200 skills)... ✅ 1498 | ⏭️ 0 | ❌ 7129 | ⚡ 4/s
🔄 Batch 64/199 (200 skills)... ✅ 1536 | ⏭️ 0 | ❌ 7245 | ⚡ 4/s
🔄 Batch 65/199 (200 skills)... ✅ 1568 | ⏭️ 0 | ❌ 7343 | ⚡ 4/s
🔄 Batch 66/199 (200 skills)... ✅ 1596 | ⏭️ 0 | ❌ 7439 | ⚡ 4/s
